tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,jenis_kelamin,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,rasio_dpt_terhadap_penduduk_kelurahan,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,BELITUNG UTARA,014,2024-BANJARMASIN BARAT-BELITUNG UTARA-014-JML,JML,257,185,71.98,257,"7,485",3.43,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,015,2024-BANJARMASIN BARAT-BELITUNG UTARA-015-JML,JML,253,220,86.96,253,"7,485",3.38,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,016,2024-BANJARMASIN BARAT-BELITUNG UTARA-016-JML,JML,251,241,96.02,251,"7,485",3.35,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,017,2024-BANJARMASIN BARAT-BELITUNG UTARA-017-JML,JML,243,221,90.95,243,"7,485",3.25,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,018,2024-BANJARMASIN BARAT-BELITUNG UTARA-018-JML,JML,240,225,93.75,240,"7,485",3.21,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,019,2024-BANJARMASIN BARAT-BELITUNG UTARA-019-JML,JML,173,185,106.94,173,"7,485",2.31,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,020,2024-BANJARMASIN BARAT-BELITUNG UTARA-020-JML,JML,246,163,66.26,246,"7,485",3.29,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,021,2024-BANJARMASIN BARAT-BELITUNG UTARA-021-JML,JML,244,197,80.74,244,"7,485",3.26,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,022,2024-BANJARMASIN BARAT-BELITUNG UTARA-022-JML,JML,278,235,84.53,278,"7,485",3.71,13.61,29.77,32.22
2024,BANJARMASIN BARAT,BELITUNG UTARA,023,2024-BANJARMASIN BARAT-BELITUNG UTARA-023-JML,JML,273,215,78.75,273,"7,485",3.65,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN CERUCUK,001,2024-BANJARMASIN BARAT-KUIN CERUCUK-001-JML,JML,201,192,95.52,201,"17,539",1.15,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN CERUCUK,002,2024-BANJARMASIN BARAT-KUIN CERUCUK-002-JML,JML,246,226,91.87,246,"17,539",1.40,13.61,29.77,32.22
2024,BANJARMASIN BARAT,KUIN CERUCUK,004,2024-BANJARMASIN BARAT-KUIN CERUCUK-004-JML,JML,298,231,77.52,298,"17,539",1.70,13.61,29.77,32.22
