tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,penduduk_total_kecamatan,rasio_dpt_terhadap_penduduk_kelurahan,pendapatan_per_kapita,tingkat_pengangguran,kepadatan_penduduk,ipm,jumlah_usia_17_24_kec,jumlah_usia_25_44_kec,jumlah_usia_45_plus_kec,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,PELAMBUAN,15,2024-BANJARMASIN BARAT-PELAMBUAN-015,252,205,81.35,252,25504,137895,0.99,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,16,2024-BANJARMASIN BARAT-PELAMBUAN-016,263,247,93.92,263,25504,137895,1.03,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,17,2024-BANJARMASIN BARAT-PELAMBUAN-017,246,217,88.21,246,25504,137895,0.96,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,18,2024-BANJARMASIN BARAT-PELAMBUAN-018,206,180,87.38,206,25504,137895,0.81,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,19,2024-BANJARMASIN BARAT-PELAMBUAN-019,203,178,87.68,203,25504,137895,0.8,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,20,2024-BANJARMASIN BARAT-PELAMBUAN-020,189,162,85.71,189,25504,137895,0.74,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,21,2024-BANJARMASIN BARAT-PELAMBUAN-021,199,175,87.94,199,25504,137895,0.78,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,22,2024-BANJARMASIN BARAT-PELAMBUAN-022,237,197,83.12,237,25504,137895,0.93,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,23,2024-BANJARMASIN BARAT-PELAMBUAN-023,216,209,96.76,216,25504,137895,0.85,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,24,2024-BANJARMASIN BARAT-PELAMBUAN-024,290,237,81.72,290,25504,137895,1.14,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
